EMP5624_E[0].Page5[0].rb_salary_conversion[0]	CompensationSalaryIsCoversionOtherThanCanadaDollar
EMP5624_E[0].Page5[0].txtF_yes_add_info[0]	CompensationSalaryCoversionOtherThanCanadaDollarDetail
EMP5624_E[0].Page5[0].chkB_DisabilityInsurance[0]	CompensationIsDisabilityBenefits
EMP5624_E[0].Page5[0].chkB_DentalInsurance[0]	CompensationIsDentalInsurance
EMP5624_E[0].Page5[0].chkB_Pension[0]	CompensationIsPension
EMP5624_E[0].Page5[0].chkB_ExtendedMed[0]	CompensationIsExtendedMedicalInsurance
EMP5624_E[0].Page5[0].txtF_OtherBenefits[0]	CompensationOtherBenefitsDetails
EMP5624_E[0].Page5[0].txtF_Days[0]	CompensationVacationDays
EMP5624_E[0].Page5[0].txtF_Remuneration[0]	CompensationVacationRemuneration
EMP5624_E[0].Page6[0].txtF_principal_activity[0]	WorkLocationPrincipalActivity
EMP5624_E[0].Page6[0].txtF_commercial_name[0]	WorkLocationCommercialName
EMP5624_E[0].Page6[0].txtF_where[0]	WorkLocationPrimaryOfTFW
EMP5624_E[0].Page6[0].txtF_City2[0]	WorkLocationPrimaryOfTFWCity
EMP5624_E[0].Page6[0].txtF_Province2[0]	WorkLocationPrimaryOfTFWProvince
EMP5624_E[0].Page6[0].txtF_Postal_Code2[0]	WorkLocationPrimaryOfTFWPostalCode
EMP5624_E[0].Page6[0].txtF_where[1]	WorkLocationOtherOfTFW
EMP5624_E[0].Page6[0].txtF_City2[1]	WorkLocationOtherOfTFWCity
EMP5624_E[0].Page6[0].txtF_Province2[1]	WorkLocationOtherOfTFWProvince
EMP5624_E[0].Page6[0].txtF_Postal_Code2[1]	WorkLocationOtherOfTFWPostalCode
EMP5624_E[0].Page6[0].rb_conflict[0]	WorkLocationIsLabourDispute
EMP5624_E[0].Page6[0].txtF_yes_add_info[0]	WorkLocationLabourDisputeInfo
EMP5624_E[0].Page6[0].rb_conflict[1]	LabourMarketBenefitIsPlan
EMP5624_E[0].Page6[0].txtF_advantage[0]	LabourMarketBenefitMandatoryWhatAdvantage
EMP5624_E[0].Page6[0].Table1[0].Row1[0].TextField1[0]	LabourMarketBenefitMandatoryActivity1
EMP5624_E[0].Page6[0].Table1[0].Row1[0].TextField2[0]	LabourMarketBenefitMandatoryTarget1
EMP5624_E[0].Page6[0].Table1[0].Row1[0].DateField1[0]	LabourMarketBenefitMandatoryStartDate1
EMP5624_E[0].Page6[0].Table1[0].Row1[0].DateField2[0]	LabourMarketBenefitMandatoryEndDate1
EMP5624_E[0].Page6[0].Table1[0].Row2[0].TextField3[0]	LabourMarketBenefitMandatoryActivity2
EMP5624_E[0].Page6[0].Table1[0].Row2[0].TextField4[0]	LabourMarketBenefitMandatoryTarget2
EMP5624_E[0].Page6[0].Table1[0].Row2[0].DateField3[0]	LabourMarketBenefitMandatoryStartDate2
EMP5624_E[0].Page6[0].Table1[0].Row2[0].DateField4[0]	LabourMarketBenefitMandatoryEndDate2
